claim_id,location_or_topic,submitted_claim,audit_verdict,evidence,required_revision
FM01,"Abstract/Introduction/Results/Figure 5","TurboGNN outperforms every compared model in every dataset-scale cell","FALSE","Geneformer has higher seed-averaged mean Pearson r on Adamson-200 by 0.0082 and Adamson-500 by 0.0001; condition-bootstrap 95% CIs include zero in both cells","Replace universal-superiority language with a model- and cell-specific descriptive account"
FM02,"Results: evaluation count","5,400 fold-level predictions","MISLEADING","5,400 seed-condition evaluations were scheduled; 4,896 are valid and 504 are vocabulary skips","Report 5,400 scheduled, 4,896 valid, and the model-specific exclusions"
FM03,"Methods: model class","GEARS, scGPT, and Geneformer are three foundation models","FALSE","GEARS is a task-specific perturbation-prediction model, not a single-cell foundation model","Use 'task-specific and foundation-model baselines'"
FM04,"Methods: GEARS version","cell-gears v0.2.x","CONTRADICTED_BY_LOCAL_MANIFEST","The saved environment manifest records cell-gears 0.1.2","Use 0.1.2 only after confirming the remote environment or provide a lockfile"
FM05,"Methods: GEARS initialization","A pretrained perturbation-prediction checkpoint distributed by the authors was fine-tuned","FALSE_FOR_SAVED_RUNNER","run_gears_lopo.py constructs GEARS, calls model_initialize, and trains for 20 epochs; it never loads a pretrained GEARS checkpoint","Describe random initialization and custom training, or rerun a documented official protocol"
FM06,"Methods: GEARS protocol","Official release codepath without protocol modification","OVERSTATED","The runner builds one condition-mean pseudo-observation per perturbation and a custom SimpleNamespace PertData object","Label this as a custom condition-mean adaptation; do not equate it with the official benchmark protocol"
FM07,"Results: GEARS mechanism","Inspection of prediction outputs confirms near-mean predictions","UNSUPPORTED","No prediction vectors, checkpoints, training-loss histories, or logs are preserved in the local package; only scalar fold metrics are present","Delete the mechanistic statement unless prediction-level diagnostics and an official-split sanity check are generated"
FM08,"Methods: scGPT optimization","Official wrapper, 30 epochs, learning rate 1e-4","FALSE_FOR_SAVED_RUNNER","Saved JSON metadata and runner defaults show 5 epochs and learning rate 1e-5 in a custom condition-mean training loop","Report the executed custom protocol exactly or rerun the intended official protocol"
FM09,"Methods: scGPT checkpoint loading","The pretrained model is used without material adaptation","NEEDS_QUALIFICATION","All 180 JSONs report 163 mapped tensors, 16 missing decoder/classifier keys, and identity initialization of the decoder for z-scored targets","Disclose partial loading and decoder initialization"
FM10,"Methods: Geneformer checkpoint","gf-12L-30M-i2048","FALSE_FOR_SAVED_RUNNER","Saved metadata identify Geneformer-V2-104M with hidden size 768","Replace with the executed checkpoint identity"
FM11,"Methods: Geneformer prediction","Official in-silico perturbation plus author-provided linear expression decoder","FALSE_FOR_SAVED_RUNNER","The runner encodes perturbation-gene token(s) into a frozen CLS embedding and fits a custom ridge map to condition-level expression deltas","Call it a frozen Geneformer-embedding ridge baseline; do not present it as direct Geneformer expression prediction"
FM12,"Statistics: independent n","n=78-150 paired folds per dataset-scale cell and Wilcoxon tests on those rows","PSEUDOREPLICATION","Rows are three seeds for the same 26-50 held-out perturbation conditions; seeds are repeated optimisation fits and folds share controls/training data","Average seeds within condition, use condition as the unit of aggregation and resampling without claiming fold independence, and remove the current p-values"
FM13,"Statistics: confidence intervals","Bootstrap 150 seed-fold rows","INVALID_UNIT","The current merge script resamples seed-condition rows; corrected exploratory CIs resample 26-50 seed-averaged conditions","Replace the current CIs with condition-level clustered/seed-averaged estimates and prespecify multiplicity handling"
FM14,"Preprocessing","Held-out perturbation is fully unseen and no methodological asymmetry favours any model","OVERSTATED","HVG selection and gene-wise z-scoring are fit on the full dataset before LOPO, including held-out cells; only the perturbation label is excluded from supervised training","Refit preprocessing within each training fold or explicitly label the benchmark transductive"
FM15,"Dataset coverage","Each baseline was evaluated on all perturbations in all four datasets","FALSE","Each runner truncates valid_conds to the first 50 encounter-ordered conditions via valid_conds[:max_folds]","State the 50-condition subset and deterministic selection rule; do not generalize to all perturbations"
FM16,"Figure 5","Significance marks and domination caption are submission-ready","NOT_VALID","The figure inherits seed-level Wilcoxon p-values, has no uncertainty bars, and labels Geneformer as a direct comparable model","Regenerate from condition-level estimates with CIs and corrected model labels after protocol gates"
FM17,"Reproducibility","The local result package includes full per-fold outputs and run records","PARTIAL_ONLY","There are 540 formal scalar-metric JSONs and 540 partial snapshots, but no logs, predictions, checkpoints, or commit hash; source_json paths in merged CSVs are stale","Publish formal JSONs plus valid path manifest, exact code commit/environment lock, logs, predictions, and exclusions"
